2022-06-23 14:15:14,283 root         INFO     starting...
2022-06-23 14:15:14,284 root         DEBUG    args are : Namespace(branches=['develop'], log='info', number=1000, repo_path=PosixPath('/scratch1/NCEPDEV/nems/role.esmfmaint/esmf-test-artifacts'))
2022-06-23 14:15:14,285 root         DEBUG    pulling artifacts
2022-06-23 14:15:20,729 root         DEBUG    cloning summaries
2022-06-23 14:15:20,729 root         DEBUG    cloning git@github.com:esmf-org/esmf-test-summary.git into /tmp/esmf_branch_summary_space
2022-06-23 14:15:21,622 root         DEBUG    pulling summaries
2022-06-23 14:15:22,108 root         INFO     itterating over 1 branches in 13 machines over 1000 most recent commits
2022-06-23 14:15:22,108 root         INFO     generating summaries for develop [acorn]
2022-06-23 14:15:22,108 root         DEBUG    checking out acorn
2022-06-23 14:15:44,382 root         DEBUG    pulling from acorn
2022-06-23 14:15:44,861 root         INFO     processing hash [0: v8.4.0b01-2-gf0d4ab2]
2022-06-23 14:15:44,861 root         DEBUG    generating summary for [v8.4.0b01-2-gf0d4ab2]
2022-06-23 14:15:44,862 root         DEBUG    fetching matching logs to determine build pass/fail
2022-06-23 14:15:44,893 root         DEBUG    matched other version v8.4.0b01-2-gf0d4ab211d
2022-06-23 14:15:44,919 root         DEBUG    matched other version v8.4.0b01-2-gf0d4ab211d
2022-06-23 14:15:44,972 root         DEBUG    matched other version v8.4.0b01-2-gf0d4ab211d
2022-06-23 14:15:44,982 root         DEBUG    matched other version v8.4.0b01-2-gf0d4ab211d
2022-06-23 14:15:45,058 root         DEBUG    matching logs: 4
2022-06-23 14:15:45,058 root         DEBUG    fetching matching summaries to extract test results
2022-06-23 14:15:45,069 root         DEBUG    matched other version v8.4.0b01-2-gf0d4ab211d
2022-06-23 14:15:45,073 root         DEBUG    matched other version v8.4.0b01-2-gf0d4ab211d
2022-06-23 14:15:45,080 root         DEBUG    matched other version v8.4.0b01-2-gf0d4ab211d
2022-06-23 14:15:45,081 root         DEBUG    matched other version v8.4.0b01-2-gf0d4ab211d
2022-06-23 14:15:45,121 root         DEBUG    matching summaries: 4
2022-06-23 14:15:45,169 root         DEBUG    finished reading logs
2022-06-23 14:15:45,169 root         ERROR    found no numeric unit test results, setting to fail [/scratch1/NCEPDEV/nems/role.esmfmaint/esmf-test-artifacts/develop/acorn/gfortran/10.3.0/g/mpi/8.1.7/summary.dat]
2022-06-23 14:15:45,169 root         ERROR    message: invalid literal for int() with base 10: 'unit'
2022-06-23 14:15:45,169 root         ERROR    line being parsed: unit tests did not complete
2022-06-23 14:15:45,169 root         ERROR    found no numeric system test results, setting to fail [/scratch1/NCEPDEV/nems/role.esmfmaint/esmf-test-artifacts/develop/acorn/gfortran/10.3.0/g/mpi/8.1.7/summary.dat]
2022-06-23 14:15:45,169 root         ERROR    message: invalid literal for int() with base 10: 'system'
2022-06-23 14:15:45,169 root         ERROR    line being parsed: system tests did not complete
2022-06-23 14:15:45,169 root         ERROR    found no numeric example test results, setting to fail [/scratch1/NCEPDEV/nems/role.esmfmaint/esmf-test-artifacts/develop/acorn/gfortran/10.3.0/g/mpi/8.1.7/summary.dat]
2022-06-23 14:15:45,169 root         ERROR    message: invalid literal for int() with base 10: 'No'
2022-06-23 14:15:45,169 root         ERROR    line being parsed: No examples ran
2022-06-23 14:15:47,147 root         ERROR    found no numeric unit test results, setting to fail [/scratch1/NCEPDEV/nems/role.esmfmaint/esmf-test-artifacts/develop/acorn/gfortran/10.3.0/O/mpi/8.1.7/summary.dat]
2022-06-23 14:15:47,147 root         ERROR    message: invalid literal for int() with base 10: 'unit'
2022-06-23 14:15:47,147 root         ERROR    line being parsed: unit tests did not complete
2022-06-23 14:15:47,147 root         ERROR    found no numeric system test results, setting to fail [/scratch1/NCEPDEV/nems/role.esmfmaint/esmf-test-artifacts/develop/acorn/gfortran/10.3.0/O/mpi/8.1.7/summary.dat]
2022-06-23 14:15:47,147 root         ERROR    message: invalid literal for int() with base 10: 'system'
2022-06-23 14:15:47,147 root         ERROR    line being parsed: system tests did not complete
2022-06-23 14:15:47,147 root         ERROR    found no numeric example test results, setting to fail [/scratch1/NCEPDEV/nems/role.esmfmaint/esmf-test-artifacts/develop/acorn/gfortran/10.3.0/O/mpi/8.1.7/summary.dat]
2022-06-23 14:15:47,147 root         ERROR    message: invalid literal for int() with base 10: 'No'
